Item,Year,Value
Mangoes,2009,5521.9
Mangoes,2010,6498.6
Mangoes,2011,6612.1
Mangoes,2012,6810.8
Mangoes,2013,7200.8
Mangoes,2014,7325.7
Mangoes,2015,8565.4
Mangoes,2016,8439.6
Mangoes,2017,9438.5
Mangoes,2018,9879.7
Mangoes,2019,9965.4
Mangoes,2020,9542.9
Mangoes,2021,9511.6
Mangoes,2022,9726
Mangoes,2023,9724.2
Soya,2000,822.2
Soya,2001,940
Soya,2002,762.4
Soya,2003,1192.9
Soya,2004,908.2
Soya,2005,1073.4
Soya,2006,1062.8
Soya,2007,1235.1
Soya,2008,1041.5
Soya,2009,1023.6
Soya,2010,1333
Soya,2011,1199.8
Soya,2012,1353
Soya,2013,1012.3
Soya,2014,935.8
Soya,2015,734.4
Soya,2016,1177
Soya,2017,1176.6
Soya,2018,1058.5
Soya,2019,1191.9
Soya,2020,920.7
Soya,2021,976.2
Soya,2022,1069.2
Soya,2023,1145.3
Sweet potatoes,2000,9742.1
Sweet potatoes,2001,8836.8
Sweet potatoes,2002,8569.4
Sweet potatoes,2003,8569.4
Sweet potatoes,2004,8858.8
Sweet potatoes,2005,8847.7
Sweet potatoes,2006,8684.9
Sweet potatoes,2007,8697.6
Sweet potatoes,2008,8894.3
Sweet potatoes,2009,9008
Sweet potatoes,2010,9206.9
Sweet potatoes,2011,9245.6
Sweet potatoes,2012,9717.4
Sweet potatoes,2013,10128.8
Sweet potatoes,2014,10275.6
Sweet potatoes,2015,11476.6
Sweet potatoes,2016,11539.7
Sweet potatoes,2017,11406.3
Sweet potatoes,2018,11450.4
Sweet potatoes,2019,10509.1
Sweet potatoes,2020,10564.8
Sweet potatoes,2021,10575.5
Sweet potatoes,2022,11065.4
Sweet potatoes,2023,11718.2
